,yid,size,rate
0,CgCBHTl1BB0.wav,220500,22050
1,2m4U-85oCF4.wav,220500,22050
2,-fA_oNSeikM.wav,220500,22050
3,cmad0TBd_KE.wav,220500,22050
4,5cxG7j3q2F4.wav,220500,22050
5,qgNa16sGbZU.wav,219468,22050
6,0tKPBZtHyq4.wav,220500,22050
7,v4VCroocZN0.wav,220500,22050
8,3U9zAFs3sII.wav,220500,22050
9,8tjaaSdKHB8.wav,199682,22050
10,JQO5zRa-s8E.wav,220500,22050
11,yF8Z0WK-2QQ.wav,220500,22050
12,3EaF5-eB2oc.wav,220500,22050
13,a0dDFexfZ4E.wav,220500,22050
14,-KapkUxNqpo.wav,220500,22050
15,p7mwIgwH96E.wav,220500,22050
16,_QwBwFy9Euc.wav,220500,22050
17,J2YC-5G1mv8.wav,220500,22050
18,qwt-RLfazK0.wav,220500,22050
19,hLb9ujxBUzI.wav,220500,22050
20,xYPK4KPPhvI.wav,208494,22050
21,ji_jo3FDt8A.wav,220500,22050
22,ggwUb6TDhe0.wav,220500,22050
23,gDEDyH7nGm0.wav,220500,22050
24,1A5ajsv8SZE.wav,220500,22050
25,RTsnGZlXeuI.wav,220500,22050
26,2wOAil2Pcu8.wav,220500,22050
27,0lCPthQbiGM.wav,220500,22050
28,18VFlzYYKg0.wav,220500,22050
29,Mkjygj3D4IA.wav,220500,22050
30,qrqhPC-QKcE.wav,220500,22050
31,HLLRJmyWkUk.wav,220500,22050
32,ZJK49_IQ9gA.wav,220500,22050
33,wJxKAVLIoPQ.wav,208906,22050
34,x7MmrfRr0Hg.wav,220500,22050
35,3ybeOSAu9KU.wav,220500,22050
36,8URTzSJaVsw.wav,220500,22050
37,C1pyHakPaIE.wav,220500,22050
38,9Qd6AdTq3Ls.wav,220500,22050
39,k1fgEGsf9uk.wav,220500,22050
40,PtNq5fMB1FM.wav,220500,22050
41,0ZL-SEuXzJ8.wav,220500,22050
42,-v5hgCh3M2w.wav,220500,22050
43,Rf2BNoHd7cE.wav,220500,22050
44,0TGeLO-gajQ.wav,220500,22050
45,YxeIC6YW2Y8.wav,220500,22050
46,rFV-652D4QU.wav,220500,22050
47,nbb8vmfjHJs.wav,220500,22050
48,cEJwFS4r-6A.wav,220500,22050
49,2DNUUISKQuY.wav,220500,22050
50,syztQJaUnb8.wav,220500,22050
51,Vz8XdueO7Ho.wav,220500,22050
52,_nMW0XOrt6s.wav,220500,22050
53,nAXhg7qlQZk.wav,220500,22050
54,3H2aKqubWJY.wav,220500,22050
55,dy4y4hKym60.wav,220500,22050
56,0s6ThfOyqJQ.wav,220500,22050
57,I__x80WfjJQ.wav,220500,22050
58,PQlw1mWrKqI.wav,220500,22050
59,55mO0eKXcXY.wav,220500,22050
60,DmxmvNmXju8.wav,220500,22050
61,XZ32sFktYEE.wav,220500,22050
62,m-t5E96ZxU8.wav,220500,22050
