YID,label
CgCBHTl1BB0,Happy
2m4U-85oCF4,Angry
cmad0TBd_KE,Sad
0tKPBZtHyq4,Happy
v4VCroocZN0,Sad
3U9zAFs3sII,Funny
yF8Z0WK-2QQ,Sad
a0dDFexfZ4E,Happy
-KapkUxNqpo,Happy
p7mwIgwH96E,Angry
J2YC-5G1mv8,Scary
qwt-RLfazK0,Funny
hLb9ujxBUzI,Angry
ji_jo3FDt8A,Scary
ggwUb6TDhe0,Sad
1A5ajsv8SZE,Scary
RTsnGZlXeuI,Angry
0lCPthQbiGM,Sad
18VFlzYYKg0,Happy
Mkjygj3D4IA,Sad
qrqhPC-QKcE,Scary
HLLRJmyWkUk,Sad
ZJK49_IQ9gA,Sad
x7MmrfRr0Hg,Funny
3ybeOSAu9KU,Sad
8URTzSJaVsw,Happy
C1pyHakPaIE,Funny
9Qd6AdTq3Ls,Happy
0ZL-SEuXzJ8,Happy
0TGeLO-gajQ,Happy
YxeIC6YW2Y8,Funny
nbb8vmfjHJs,Angry
cEJwFS4r-6A,Scary
Vz8XdueO7Ho,Happy
_nMW0XOrt6s,Sad
nAXhg7qlQZk,Scary
3H2aKqubWJY,Happy
0s6ThfOyqJQ,Angry
I__x80WfjJQ,Sad
55mO0eKXcXY,Sad
m-t5E96ZxU8,Scary
zUpH-6DCHrE,Angry
G3LToy_85KQ,Funny
AdjzGJWuPKk,Angry
X7bLTU8I3H8,Angry
0S4GcKH5S5o,Happy
l4_jfsVUjcQ,Funny
fyNgsAN0oaA,Scary
RbUEr9MHGX4,Scary
zWx40Equr_A,Happy
h8qCm4a9hwI,Sad
5YHmL9AXzb0,Sad
9WJ70eK4k-g,Funny
oAVv4B1ad6A,Scary
NXei3Db7biI,Sad
hxfDobC7n0c,Funny
7hFjbj-OtuY,Happy
1ePeBw8-iZE,Angry
6dqN4qPiOQY,Sad
tfkCKTq5ilc,Scary
vm6jH5gPGoE,Funny
SQ_D5ncL4KM,Scary
g1pHrLRTbzU,Angry
0MNNqgO2gHs,Funny
yG09HCYJtJ4,Sad
dTtQjlS9xg8,Sad
jXcgVeQcKw0,Scary
D2JrffvCQk0,Happy
EWIOkrY5PHc,Angry
xJ1oQloGjFs,Scary
EZfkjyIc8bI,Angry
Xcs3PnSHstI,Funny
BtdzVnXZ0i4,Sad
LfMm-5e3yP4,Sad
-klIbEax2EY,Sad
XMzGhP6NKas,Funny
qDSvHlHbAqM,Happy
PpIKyUw8V9Y,Sad
FJsia-w-YCs,Angry
5DI6iLp1aO8,Scary
tTPU1SGm_MA,Funny
Lud7JuNAJbY,Funny
RDGezmLRv1Y,Sad
HTUdcFwPOfg,Scary
KoAGZ_dB8MM,Scary
oynXCFZWxnI,Sad
KzajcML-L3E,Happy
jQI4nVj3YRg,Scary
gPXQDH1mfoA,Funny
CMKWlcvEIpU,Angry
Fb6dP9s4x60,Sad
qOy9rDVnarQ,Happy
0rf7EDWGdZg,Sad
nESunVq7Ugo,Happy
XOfADJvAPiU,Scary
BZdk4emm5FM,Angry
AfpYILjn_VM,Happy
3sA3nCclfBI,Scary
1Rd1w7Ty1ak,Happy
fCwjISQ27po,Scary
3L8iMzE_Gbg,Angry
4Op6ym08emA,Happy
1XLIOmF4a54,Sad
jXrQndWh9n0,Scary
FXjmu596Z6k,Sad
1v12sVscMyQ,Scary
GkYsd0jMMqk,Happy
XmaKUTi9cG8,Sad
HgemMetVPP4,Sad
B1sxcQ3WOS0,Happy
6OrEwfVnXwg,Angry
26ErYVhYVU4,Angry
h80f_HJFhig,Angry
7Pg49RNunE4,Angry
-ovcLd9H21w,Sad
VpzWg42PyTQ,Happy
NUbc7mcWHMU,Scary
xb76D1tc8Mw,Scary
V7-67Liatag,Happy
8EJDQWzNQco,Sad
jV2TL_a_iJk,Funny
ypeCO6dJ0FI,Angry
QPUUVq8Dkpc,Scary
K8iyYA01aa8,Sad
h7CDbKXfpZs,Sad
ihSkSvFRa2o,Funny
_xdxyfUvKBo,Angry
9hA71h3cLeE,Happy
jZxwInGlfeo,Happy
rgzVRA673eE,Happy
y6om7S_e3U4,Funny
JtACqrcjfvg,Sad
WQ43Wqs1-Nw,Sad
FDPgRqIRCvg,Scary
oRz2NDKrSu8,Sad
kINDPXYzCcM,Sad
7DCHpoUfrGY,Sad
JQxGh8LfijI,Happy
DX7QMBONX8M,Angry
mtU470r2w7M,Angry
mf1Ps_DWdvA,Funny
jDxslhfDsUk,Sad
TeLuIlKMNf4,Angry
YcAdsxzAEco,Scary
BkTzunoQvRM,Sad
O-nZMHd-05k,Happy
iv7h5gEl-EM,Sad
7ivDhCfiP14,Sad
4hrQWCKNa_4,Happy
OY9U2BTPu2I,Scary
Pt24zcUtESk,Sad
B6yNn2vKCCk,Sad
ECXFnImt3UQ,Funny
3km97q4peeY,Sad
ZLRoWzdzQZI,Scary
GRU6o0x1mzA,Angry
Osi4ZSE7UnQ,Scary
HCbhLXjI0tI,Sad
3S9EoS4SvfU,Sad
vc83xlqQeRk,Happy
32C6w8V7TX8,Happy
_b_Owp-A58U,Sad
CX4pU1HQmxA,Angry
smU92Nu0FmY,Scary
BH6bd9JVwtM,Happy
T9iQsL54oRs,Angry
wHK5pJVnYq0,Happy
LMGpKPavV4Q,Angry
ABXx5AJD3Ok,Scary
GIDkmIrGyFU,Sad
qKkM1ktgeKU,Sad
zVNKgw-Jdxo,Sad
TdHdD1wxu_0,Sad
TTCZUSLbE-g,Scary
BpYRH3lQv9E,Angry
0qV2vv330Mk,Sad
LHz6gxo6Kls,Sad
ccISM6F8JCY,Scary
HP_srag0OPQ,Angry
5ZpVhmhVYoI,Happy
