YID,label
CgCBHTl1BB0,Happy
2m4U-85oCF4,Angry
-fA_oNSeikM,Tender
cmad0TBd_KE,Sad
5cxG7j3q2F4,Tender
0tKPBZtHyq4,Happy
v4VCroocZN0,Sad
3U9zAFs3sII,Funny
JQO5zRa-s8E,Tender
yF8Z0WK-2QQ,Sad
3EaF5-eB2oc,Tender
a0dDFexfZ4E,Happy
-KapkUxNqpo,Happy
p7mwIgwH96E,Angry
_QwBwFy9Euc,Tender
J2YC-5G1mv8,Scary
qwt-RLfazK0,Funny
hLb9ujxBUzI,Angry
ji_jo3FDt8A,Scary
ggwUb6TDhe0,Sad
gDEDyH7nGm0,Tender
1A5ajsv8SZE,Scary
RTsnGZlXeuI,Angry
2wOAil2Pcu8,Tender
0lCPthQbiGM,Sad
18VFlzYYKg0,Happy
Mkjygj3D4IA,Sad
qrqhPC-QKcE,Scary
HLLRJmyWkUk,Sad
ZJK49_IQ9gA,Sad
x7MmrfRr0Hg,Funny
3ybeOSAu9KU,Sad
8URTzSJaVsw,Happy
C1pyHakPaIE,Funny
9Qd6AdTq3Ls,Happy
k1fgEGsf9uk,Tender
PtNq5fMB1FM,Tender
0ZL-SEuXzJ8,Happy
-v5hgCh3M2w,Tender
Rf2BNoHd7cE,Tender
0TGeLO-gajQ,Happy
YxeIC6YW2Y8,Funny
rFV-652D4QU,Tender
nbb8vmfjHJs,Angry
cEJwFS4r-6A,Scary
2DNUUISKQuY,Tender
syztQJaUnb8,Tender
Vz8XdueO7Ho,Happy
_nMW0XOrt6s,Sad
nAXhg7qlQZk,Scary
3H2aKqubWJY,Happy
dy4y4hKym60,Tender
0s6ThfOyqJQ,Angry
I__x80WfjJQ,Sad
PQlw1mWrKqI,Tender
55mO0eKXcXY,Sad
DmxmvNmXju8,Tender
XZ32sFktYEE,Tender
m-t5E96ZxU8,Scary
-3_s2pM8zgM,Tender
q-dOhuWQm9U,Tender
zUpH-6DCHrE,Angry
Y3YoYy0G9gY,Tender
k6fd552GoOQ,Tender
2CL20m454lo,Tender
G3LToy_85KQ,Funny
AdjzGJWuPKk,Angry
X7bLTU8I3H8,Angry
0S4GcKH5S5o,Happy
l4_jfsVUjcQ,Funny
fyNgsAN0oaA,Scary
yXe278wkzC4,Tender
RbUEr9MHGX4,Scary
zWx40Equr_A,Happy
h8qCm4a9hwI,Sad
OC3rY2IQVCI,Tender
5YHmL9AXzb0,Sad
V8HQzHh-qKQ,Tender
9WJ70eK4k-g,Funny
zNRt14YppEw,Tender
oAVv4B1ad6A,Scary
5Np6cVc2Bzw,Tender
NXei3Db7biI,Sad
hxfDobC7n0c,Funny
F6mgCgEiJIk,Tender
0Imh-PcFfGk,Tender
LOuxJmtsC_Y,Tender
7hFjbj-OtuY,Happy
1ePeBw8-iZE,Angry
6dqN4qPiOQY,Sad
aRRYAjoC8vk,Tender
oE1nnmAdqzg,Tender
fdzKn5AJFtE,Tender
obepYGLSHUU,Tender
tfkCKTq5ilc,Scary
vm6jH5gPGoE,Funny
0jkHjj1nKFM,Tender
SQ_D5ncL4KM,Scary
g1pHrLRTbzU,Angry
0MNNqgO2gHs,Funny
6OTOkZ5QDak,Tender
yG09HCYJtJ4,Sad
dTtQjlS9xg8,Sad
sK0cJUwxMXc,Tender
jXcgVeQcKw0,Scary
D2JrffvCQk0,Happy
EWIOkrY5PHc,Angry
xJ1oQloGjFs,Scary
EZfkjyIc8bI,Angry
Xcs3PnSHstI,Funny
BtdzVnXZ0i4,Sad
LfMm-5e3yP4,Sad
-klIbEax2EY,Sad
PEsl3DtDIjs,Tender
XMzGhP6NKas,Funny
qDSvHlHbAqM,Happy
PpIKyUw8V9Y,Sad
FJsia-w-YCs,Angry
3UoXMao-45E,Tender
5DI6iLp1aO8,Scary
pCpryoUEY4s,Tender
tTPU1SGm_MA,Funny
mCGt1YZ6rgU,Tender
Lud7JuNAJbY,Funny
RDGezmLRv1Y,Sad
HTUdcFwPOfg,Scary
KoAGZ_dB8MM,Scary
oynXCFZWxnI,Sad
KzajcML-L3E,Happy
jQI4nVj3YRg,Scary
gPXQDH1mfoA,Funny
D_krfgYt3Cw,Tender
CMKWlcvEIpU,Angry
Fb6dP9s4x60,Sad
7-CYYGQUhoE,Tender
f0ZcIgrsHrg,Tender
ypdy3nJQvVA,Tender
Wv_44ZxtJX8,Tender
U17MnYGBDKc,Tender
0I_aPRHs0QU,Tender
qOy9rDVnarQ,Happy
0rf7EDWGdZg,Sad
bBLH85c4aJ8,Tender
nESunVq7Ugo,Happy
XOfADJvAPiU,Scary
BZdk4emm5FM,Angry
JqcsOlKNTOE,Tender
x0Sw8lu5ZQE,Tender
AfpYILjn_VM,Happy
cDBIhYyyFaw,Tender
6sWVG6GyJBU,Tender
3sA3nCclfBI,Scary
1Rd1w7Ty1ak,Happy
fCwjISQ27po,Scary
Xs4ETG1cEjo,Tender
3L8iMzE_Gbg,Angry
4Op6ym08emA,Happy
1XLIOmF4a54,Sad
jXrQndWh9n0,Scary
FXjmu596Z6k,Sad
1v12sVscMyQ,Scary
GkYsd0jMMqk,Happy
XmaKUTi9cG8,Sad
HgemMetVPP4,Sad
B1sxcQ3WOS0,Happy
6OrEwfVnXwg,Angry
MPxwPOOIskc,Tender
26ErYVhYVU4,Angry
h80f_HJFhig,Angry
-06BLnbz3dw,Tender
7Pg49RNunE4,Angry
lPVSfESPKtk,Tender
-ovcLd9H21w,Sad
VpzWg42PyTQ,Happy
NUbc7mcWHMU,Scary
xb76D1tc8Mw,Scary
V7-67Liatag,Happy
qGTlTH0RF0o,Tender
8EJDQWzNQco,Sad
07yatLsI9YA,Tender
