,YID,label
0,CgCBHTl1BB0,Happy
1,2m4U-85oCF4,Angry
3,cmad0TBd_KE,Sad
5,0tKPBZtHyq4,Happy
6,v4VCroocZN0,Sad
7,3U9zAFs3sII,Funny
9,yF8Z0WK-2QQ,Sad
11,a0dDFexfZ4E,Happy
12,-KapkUxNqpo,Happy
13,p7mwIgwH96E,Angry
15,J2YC-5G1mv8,Scary
16,qwt-RLfazK0,Funny
17,hLb9ujxBUzI,Angry
18,ji_jo3FDt8A,Scary
19,ggwUb6TDhe0,Sad
21,1A5ajsv8SZE,Scary
22,RTsnGZlXeuI,Angry
24,0lCPthQbiGM,Sad
25,18VFlzYYKg0,Happy
26,Mkjygj3D4IA,Sad
27,qrqhPC-QKcE,Scary
28,HLLRJmyWkUk,Sad
29,ZJK49_IQ9gA,Sad
30,x7MmrfRr0Hg,Funny
31,3ybeOSAu9KU,Sad
32,8URTzSJaVsw,Happy
33,C1pyHakPaIE,Funny
34,9Qd6AdTq3Ls,Happy
37,0ZL-SEuXzJ8,Happy
40,0TGeLO-gajQ,Happy
41,YxeIC6YW2Y8,Funny
43,nbb8vmfjHJs,Angry
44,cEJwFS4r-6A,Scary
47,Vz8XdueO7Ho,Happy
48,_nMW0XOrt6s,Sad
49,nAXhg7qlQZk,Scary
50,3H2aKqubWJY,Happy
52,0s6ThfOyqJQ,Angry
53,I__x80WfjJQ,Sad
55,55mO0eKXcXY,Sad
58,m-t5E96ZxU8,Scary
61,zUpH-6DCHrE,Angry
65,G3LToy_85KQ,Funny
66,AdjzGJWuPKk,Angry
67,X7bLTU8I3H8,Angry
68,0S4GcKH5S5o,Happy
69,l4_jfsVUjcQ,Funny
70,fyNgsAN0oaA,Scary
72,RbUEr9MHGX4,Scary
73,zWx40Equr_A,Happy
74,h8qCm4a9hwI,Sad
76,5YHmL9AXzb0,Sad
78,9WJ70eK4k-g,Funny
80,oAVv4B1ad6A,Scary
82,NXei3Db7biI,Sad
83,hxfDobC7n0c,Funny
87,7hFjbj-OtuY,Happy
88,1ePeBw8-iZE,Angry
89,6dqN4qPiOQY,Sad
94,tfkCKTq5ilc,Scary
95,vm6jH5gPGoE,Funny
97,SQ_D5ncL4KM,Scary
98,g1pHrLRTbzU,Angry
99,0MNNqgO2gHs,Funny
101,yG09HCYJtJ4,Sad
102,dTtQjlS9xg8,Sad
104,jXcgVeQcKw0,Scary
105,D2JrffvCQk0,Happy
106,EWIOkrY5PHc,Angry
107,xJ1oQloGjFs,Scary
108,EZfkjyIc8bI,Angry
109,Xcs3PnSHstI,Funny
110,BtdzVnXZ0i4,Sad
111,LfMm-5e3yP4,Sad
112,-klIbEax2EY,Sad
114,XMzGhP6NKas,Funny
115,qDSvHlHbAqM,Happy
116,PpIKyUw8V9Y,Sad
117,FJsia-w-YCs,Angry
119,5DI6iLp1aO8,Scary
121,tTPU1SGm_MA,Funny
123,Lud7JuNAJbY,Funny
124,RDGezmLRv1Y,Sad
125,HTUdcFwPOfg,Scary
126,KoAGZ_dB8MM,Scary
127,oynXCFZWxnI,Sad
128,KzajcML-L3E,Happy
129,jQI4nVj3YRg,Scary
130,gPXQDH1mfoA,Funny
132,CMKWlcvEIpU,Angry
133,Fb6dP9s4x60,Sad
140,qOy9rDVnarQ,Happy
141,0rf7EDWGdZg,Sad
143,nESunVq7Ugo,Happy
144,XOfADJvAPiU,Scary
145,BZdk4emm5FM,Angry
148,AfpYILjn_VM,Happy
151,3sA3nCclfBI,Scary
152,1Rd1w7Ty1ak,Happy
153,fCwjISQ27po,Scary
155,3L8iMzE_Gbg,Angry
